user_id,cond,Create New Field or Choose From Dropdown...,UES,Realism,Trust,Persuasion
57656f6c2bfddf000125cce5,avatar,,4.0,5.25,2.909090909090909,5.0
57d6dd8d6598aa000199188b,text,,3.5555555555555554,5.5,3.6363636363636362,4.333333333333333
588ab33542c8e900019d02ae,control,,5.0,6.75,5.0,5.0
58a1fe40ea3d11000170d9b9,text,,4.666666666666667,6.0,4.363636363636363,6.0
5930c7fdfa699e0001017cc1,text,,3.7777777777777777,5.75,3.4545454545454546,4.0
5a198755f2e3460001edc5c9,text,,3.5555555555555554,4.0,4.0,1.0
5a6e8532e6cc4a0001b6d728,avatar,,3.4444444444444446,6.0,3.4545454545454546,4.666666666666667
5a79f3f3000dab00018c31d0,control,,2.888888888888889,2.5,3.3636363636363638,3.0
5a98d411f05361000171ebe7,text,,4.111111111111111,5.75,4.0,5.333333333333333
5ac5260dfa3b4e0001736dd3,avatar,,3.6666666666666665,5.75,3.0,4.666666666666667
5c3e359b08a31d000166b9aa,text,,4.222222222222222,5.0,3.1818181818181817,5.666666666666667
5c7cf8b58ca9000001b52f6e,avatar,,4.0,7.0,4.545454545454546,5.0
5d90298097a2130015f3fa3c,text,,4.555555555555555,7.0,5.0,6.0
5dc474fd45b8f933f16d6241,control,,3.7777777777777777,3.25,3.909090909090909,4.0
5dce3ccc32ccbf0cd54263db,control,,3.2222222222222223,6.0,4.0,5.0
5e646abe244a7f1feb0f6321,control,,2.5555555555555554,2.25,1.8181818181818181,2.0
5e850b0e390e520ec806b084,text,,4.333333333333333,6.25,3.8181818181818183,5.333333333333333
5fba9fdd33207faa35f61df3,voice,,4.333333333333333,6.0,4.454545454545454,4.0
60c8467d9872c0d83f695499,avatar,,4.666666666666667,6.0,4.181818181818182,4.333333333333333
60cb3c4b9454f7a196355088,control,,4.222222222222222,5.25,4.363636363636363,5.0
60ce89c7357eeffe77fca946,avatar,,5.0,6.0,4.545454545454546,7.0
60fd6e6d7b35102b8ca961a5,voice,,3.111111111111111,3.5,2.5454545454545454,3.0
610835949b556d70924fd817,text,,4.222222222222222,6.0,3.272727272727273,6.666666666666667
611622ddd8be1ac51298cb89,avatar,,2.4444444444444446,1.75,1.5454545454545454,1.0
611edc7240c940f33a5dd554,voice,,3.6666666666666665,6.0,3.272727272727273,5.666666666666667
616dac30fd433eb926c5ceaa,text,,4.777777777777778,7.0,5.0,6.0
6287a504c4cb277cf781b6bb,text,,4.222222222222222,4.0,3.8181818181818183,3.6666666666666665
628f83dc5398c04bac86f9e6,voice,,4.222222222222222,6.5,4.545454545454546,5.666666666666667
62a885d5b6af18b3d4579e1b,avatar,,4.333333333333333,5.75,5.0,6.0
62b20c0065e9809e66d13fa5,control,,3.6666666666666665,5.5,4.0,5.333333333333333
62bb42e2f21cfdb280cc975f,text,,3.6666666666666665,6.75,3.1818181818181817,6.333333333333333
62c63362e7342ad8be294866,voice,,4.222222222222222,6.0,4.363636363636363,3.0
62d43cee3d60ac98c1dcacc8,voice,,3.888888888888889,4.25,3.0,4.0
63039dbefda87c47a91fec04,control,,2.4444444444444446,5.5,3.4545454545454546,4.0
63d7fb6ee49281f6c41d6630,control,,4.111111111111111,6.25,4.090909090909091,5.333333333333333
63ffcb367b500c516d0648a2,control,,4.444444444444445,4.75,4.7272727272727275,4.0
640415971520c41606ca4389,voice,,4.222222222222222,4.75,3.4545454545454546,5.333333333333333
6410e763dc2f2726ac16ee05,voice,,4.777777777777778,6.25,4.818181818181818,5.333333333333333
64135e3d9cd5e3f16290d29c,control,,4.111111111111111,5.25,2.909090909090909,5.666666666666667
64309be1d7d085ed8ee4c129,text,,3.6666666666666665,5.5,4.0,6.0
649754db1c54fad23e345093,avatar,,1.7777777777777777,1.75,3.272727272727273,4.0
6536a9f9ac4d61b9d34f5b3b,control,,3.888888888888889,4.0,3.4545454545454546,4.0
65462d3be36b05a1f97d2dc8,avatar,,4.333333333333333,7.0,5.0,6.0
65983c420d89145cbdb05468,voice,,4.444444444444445,5.5,3.727272727272727,2.0
65c243c37e0d77ca70ee030e,control,,4.222222222222222,3.5,2.8181818181818183,4.0
660cda55786e37b1cbb49717,voice,,5.0,6.5,4.636363636363637,5.333333333333333
66199822c723a66ae0d5fc24,text,,4.555555555555555,5.75,4.909090909090909,6.0
