Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e4422c538353859ec4eeb9,668b37077c15ef8634f2121c,APPROVED,Not Applicable,2025-10-06T22:27:01.773000Z,2025-10-06T23:26:00.829000Z,2025-10-27T00:03:02.024000Z,2025-10-06T23:26:01.204498Z,3540.0,CUKPH3D8,1392,28,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e442367ebb19ec7073947b,66a02d45a7db35d93c9f6a81,APPROVED,Not Applicable,2025-10-06T22:27:05.807000Z,2025-10-06T22:54:57.719000Z,2025-10-27T00:03:02.951000Z,2025-10-06T22:54:58.141301Z,1672.0,CUKPH3D8,4283,26,Male,White,United States,United States,United States,English,Yes,Full-Time
68e4441655d002b822d0eaf1,660f580f6c69db7498eae250,RETURNED,Not Applicable,2025-10-06T22:35:06.624000Z,,,2025-10-09T14:47:45.580532Z,,,904,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e4449a32a2c4f5ca5ec66d,671b277a6d04904df5f9503b,APPROVED,Not Applicable,2025-10-06T22:37:19.283000Z,2025-10-06T22:57:41.171000Z,2025-10-27T00:03:04.226000Z,2025-10-06T22:57:41.615685Z,1222.0,CUKPH3D8,2734,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e4455db0ed1663a9ee41e4,606f9bca353fc36aba9ccb8b,RETURNED,Not Applicable,2025-10-06T22:40:29.548000Z,,,2025-10-09T14:47:45.581297Z,,,5750,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e445f5016c609ea557676a,6340b7955ab968e4426eb476,RETURNED,Not Applicable,2025-10-06T22:43:01.042000Z,,,2025-10-09T14:47:45.587259Z,,,5422,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e445fbcf40ab1ebda4ff9e,66a9979ad8c56c6f29446781,APPROVED,Not Applicable,2025-10-06T22:43:12.101000Z,2025-10-06T23:04:18.368000Z,2025-10-27T00:03:04.781000Z,2025-10-06T23:04:18.789072Z,1267.0,CUKPH3D8,1850,27,Male,Mixed,United States,United States,United States,English,No,Full-Time
68e44768ffd47677fe3c3aba,6785704c3b1ab8813a4958b0,APPROVED,Not Applicable,2025-10-06T22:52:39.234000Z,2025-10-06T23:15:11.126000Z,2025-10-27T00:03:05.950000Z,2025-10-06T23:15:11.630379Z,1352.0,CUKPH3D8,3055,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68e44778e049a5b14155885d,5c7cf8b58ca9000001b52f6e,APPROVED,Not Applicable,2025-10-06T22:54:21.194000Z,2025-10-06T23:29:27.906000Z,2025-10-27T00:03:06.518000Z,2025-10-06T23:29:29.705288Z,2107.0,CUKPH3D8,9285,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e4485d22a1930dbc758d1a,67884b1aa6c55d9dd2388778,APPROVED,Not Applicable,2025-10-06T22:53:22.408000Z,2025-10-06T23:27:17.844000Z,2025-10-27T00:03:07.012000Z,2025-10-06T23:27:22.859695Z,2036.0,CUKPH3D8,2641,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e448d521ad4a82ec2e9412,5ac5260dfa3b4e0001736dd3,APPROVED,Not Applicable,2025-10-06T22:56:34.104000Z,2025-10-06T23:28:56.805000Z,2025-10-27T00:03:07.562000Z,2025-10-06T23:28:57.188110Z,1943.0,CUKPH3D8,1638,31,Male,White,United States,United States,Mexico,English,DATA_EXPIRED,DATA_EXPIRED
68e449dcc63b981741cd851d,58adfc6e7cf56d0001f931a2,APPROVED,Not Applicable,2025-10-06T22:59:40.328000Z,2025-10-06T23:45:24.214000Z,2025-10-27T00:03:08.153000Z,2025-10-06T23:45:24.607079Z,2744.0,CUKPH3D8,8814,28,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
68e44b946d28d37dd5257626,57656f6c2bfddf000125cce5,APPROVED,Not Applicable,2025-10-06T23:14:35.979000Z,2025-10-06T23:59:35.821000Z,2025-10-27T00:03:08.667000Z,2025-10-06T23:59:37.404126Z,2700.0,CUKPH3D8,5346,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e44bb16eefa022f81794b6,6723fefd7a09fe9da8f9bd10,RETURNED,Not Applicable,,,,2025-10-09T14:47:50.615290Z,,,1806,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44bb429d95b7c06de11e7,60c8467d9872c0d83f695499,APPROVED,Not Applicable,2025-10-06T23:07:32.041000Z,2025-10-06T23:49:36.347000Z,2025-10-27T00:03:09.181000Z,2025-10-06T23:49:39.788238Z,2525.0,CUKPH3D8,5558,31,Female,White,United States,United States,United States,English,No,Full-Time
