Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e4413fb9aaa125fee3eadf,67414dcbcf89f6a633385d49,APPROVED,Not Applicable,2025-10-06T22:27:07.335000Z,2025-10-06T23:03:03.462000Z,2025-10-27T00:02:12.654000Z,2025-10-06T23:03:06.061881Z,2157.0,CUKPH3D8,788,29,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e441cccb0cf52fa6a5eef3,666559e634fffd1ce19ba654,APPROVED,Not Applicable,2025-10-06T22:25:21.223000Z,2025-10-06T23:40:42.366000Z,2025-10-27T00:02:13.047000Z,2025-10-06T23:40:42.784787Z,4522.0,CUKPH3D8,2890,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e443ba7406769a213ca651,5d2e4267565e1200017efb42,RETURNED,Not Applicable,2025-10-06T22:34:13.304000Z,,,2025-10-06T22:52:09.911022Z,,,2113,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e443be41e0e9594101211b,62d43cee3d60ac98c1dcacc8,APPROVED,Not Applicable,2025-10-06T22:33:38.503000Z,2025-10-06T23:57:12.971000Z,2025-10-27T00:02:13.407000Z,2025-10-06T23:57:16.914762Z,5015.0,CUKPH3D8,8614,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e4450ed1a8affcf5dcc398,628f83dc5398c04bac86f9e6,APPROVED,Not Applicable,2025-10-06T22:39:14.577000Z,2025-10-06T23:11:54.931000Z,2025-10-27T00:02:13.739000Z,2025-10-06T23:11:55.341353Z,1961.0,CUKPH3D8,13959,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e445764753d5515e3bacce,5efaf5d5540ce9953f995009,RETURNED,Not Applicable,2025-10-06T22:41:02.494000Z,,,2025-10-06T22:52:08.150483Z,,,1709,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44599d5bae27afbb8001c,660cda55786e37b1cbb49717,APPROVED,Not Applicable,2025-10-06T22:41:35.884000Z,2025-10-06T23:34:57.708000Z,2025-10-27T00:02:14.107000Z,2025-10-06T23:34:59.521952Z,3202.0,CUKPH3D8,4309,38,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e445f3c0343dfdbe54b19b,6643f08978c19c6cf8de82d4,RETURNED,Not Applicable,2025-10-06T22:46:37.101000Z,,,2025-10-09T14:47:29.861213Z,,,2054,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e4471f83d5eaf3564c6670,62c63362e7342ad8be294866,APPROVED,Not Applicable,2025-10-06T22:48:10.854000Z,2025-10-06T23:25:45.158000Z,2025-10-27T00:02:14.418000Z,2025-10-06T23:25:45.549019Z,2255.0,CUKPH3D8,5095,45,Male,White,United States,United States,United States,English,No,Full-Time
68e4497bbca4d26f0047bdcd,6400e79fec0b310140841aee,RETURNED,Not Applicable,2025-10-06T22:58:17.125000Z,,,2025-10-09T14:47:29.863448Z,,,4250,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e449b5f3fa20a6173ae9de,6625ac4d6f5a636552f8adf0,RETURNED,Not Applicable,2025-10-06T22:59:11.608000Z,,,2025-10-09T14:47:29.863342Z,,,2018,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e449ec5b4997518160ada5,674df71dd20065d29a151f43,RETURNED,Not Applicable,2025-10-06T22:59:56.190000Z,,,2025-10-09T14:47:29.885927Z,,,1700,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44b1821d36ab4e4cbf863,6745731e75a88802a56be3ef,APPROVED,Not Applicable,2025-10-06T23:05:33.097000Z,2025-10-06T23:26:48.560000Z,2025-10-27T00:02:14.743000Z,2025-10-06T23:26:48.990995Z,1276.0,CUKPH3D8,1361,18,Male,Mixed,United States,United States,United States,English,Yes,Part-Time
68e44b98e1d6d5f61f9c1db5,6789ac8527bbce25fe21a7a4,APPROVED,Not Applicable,2025-10-06T23:07:14.435000Z,2025-10-06T23:35:26.889000Z,2025-10-27T00:02:15.078000Z,2025-10-06T23:35:27.288485Z,1693.0,CUKPH3D8,731,31,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e44bceac0f91f0db73f43b,671eefb130967a416003ffea,APPROVED,Not Applicable,2025-10-06T23:08:04.394000Z,2025-10-06T23:27:43.113000Z,2025-10-27T00:02:15.451000Z,2025-10-06T23:27:43.534494Z,1179.0,thankyou2025,438,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e44c911d2ab03f64ae142b,67294473dbb580a0ca93f60f,RETURNED,Not Applicable,2025-10-06T23:11:13.050000Z,,,2025-10-09T14:47:31.777964Z,,,2341,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44d1ffbbd7082a15ea16d,6759153b3eedcded280918ce,APPROVED,Not Applicable,2025-10-06T23:21:02.076000Z,2025-10-07T00:42:20.059000Z,2025-10-28T00:04:36.965000Z,2025-10-07T00:42:20.450642Z,4878.0,CUKPH3D8,1197,27,Female,Black,United States,United States,United States,English,No,Full-Time
68e44df46be6a6702376d432,663a5c3c9ca80f412652721d,RETURNED,Not Applicable,2025-10-06T23:17:11.973000Z,,,2025-10-09T14:47:29.871879Z,,,1571,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44e6e68b3fed56409bd67,610e0a1e95c323743ff02dcb,TIMED-OUT,Not Applicable,2025-10-06T23:19:10.518000Z,,,2025-10-09T14:47:29.870598Z,228500.0,,7184,39,Male,Black,United States,United States,United States,English,No,Full-Time
