Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,condition
68e55a7e55419a2f89cf612f,6633a48b83e72a859fde7144,APPROVED,Not Applicable,2025-10-07T18:22:58.695000Z,2025-10-07T18:47:27.329000Z,2025-10-28T00:03:12.676000Z,2025-10-07T18:47:35.421723Z,1469.0,CUKPH3D8,998,40,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,avatar
68e55bdf8180fdddd5e518e8,6630ff1a437b51ceddadb038,APPROVED,Not Applicable,2025-10-07T18:28:54.119000Z,2025-10-07T18:53:30.060000Z,2025-10-28T00:03:13.034000Z,2025-10-07T18:53:32.669082Z,1476.0,CUKPH3D8,190,40,Female,White,United States,United States,United States,English,No,Full-Time,avatar
68e4422c538353859ec4eeb9,668b37077c15ef8634f2121c,APPROVED,Not Applicable,2025-10-06T22:27:01.773000Z,2025-10-06T23:26:00.829000Z,2025-10-27T00:03:02.024000Z,2025-10-06T23:26:01.204498Z,3540.0,CUKPH3D8,1392,28,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,avatar
68e442367ebb19ec7073947b,66a02d45a7db35d93c9f6a81,APPROVED,Not Applicable,2025-10-06T22:27:05.807000Z,2025-10-06T22:54:57.719000Z,2025-10-27T00:03:02.951000Z,2025-10-06T22:54:58.141301Z,1672.0,CUKPH3D8,4283,26,Male,White,United States,United States,United States,English,Yes,Full-Time,avatar
68e4441655d002b822d0eaf1,660f580f6c69db7498eae250,RETURNED,Not Applicable,2025-10-06T22:35:06.624000Z,,,2025-10-09T14:47:45.580532Z,,,904,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,avatar
68e4449a32a2c4f5ca5ec66d,671b277a6d04904df5f9503b,APPROVED,Not Applicable,2025-10-06T22:37:19.283000Z,2025-10-06T22:57:41.171000Z,2025-10-27T00:03:04.226000Z,2025-10-06T22:57:41.615685Z,1222.0,CUKPH3D8,2734,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,avatar
68e4455db0ed1663a9ee41e4,606f9bca353fc36aba9ccb8b,RETURNED,Not Applicable,2025-10-06T22:40:29.548000Z,,,2025-10-09T14:47:45.581297Z,,,5750,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,avatar
68e445f5016c609ea557676a,6340b7955ab968e4426eb476,RETURNED,Not Applicable,2025-10-06T22:43:01.042000Z,,,2025-10-09T14:47:45.587259Z,,,5422,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,avatar
68e445fbcf40ab1ebda4ff9e,66a9979ad8c56c6f29446781,APPROVED,Not Applicable,2025-10-06T22:43:12.101000Z,2025-10-06T23:04:18.368000Z,2025-10-27T00:03:04.781000Z,2025-10-06T23:04:18.789072Z,1267.0,CUKPH3D8,1850,27,Male,Mixed,United States,United States,United States,English,No,Full-Time,avatar
68e44768ffd47677fe3c3aba,6785704c3b1ab8813a4958b0,APPROVED,Not Applicable,2025-10-06T22:52:39.234000Z,2025-10-06T23:15:11.126000Z,2025-10-27T00:03:05.950000Z,2025-10-06T23:15:11.630379Z,1352.0,CUKPH3D8,3055,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,avatar
