Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e445726aef36eda8c6c0db,66199822c723a66ae0d5fc24,APPROVED,Not Applicable,2025-10-06T22:40:55.137000Z,2025-10-06T23:14:42.294000Z,2025-10-27T00:03:34.296000Z,2025-10-06T23:14:43.923216Z,2028.0,CUKPH3D8,1634,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68e445754ac465409d7108ba,66463e4efb99fba5a67a010a,APPROVED,Not Applicable,2025-10-06T22:40:56.128000Z,2025-10-06T23:03:43.403000Z,2025-10-27T00:03:34.704000Z,2025-10-06T23:03:43.819889Z,1368.0,CUKPH3D8,3321,31,Male,Black,United States,United States,United States,English,No,Full-Time
68e44579a7141a51729e3416,60fd6618f9a377f54dcdf318,APPROVED,Not Applicable,2025-10-06T22:41:17.998000Z,2025-10-06T23:04:30.014000Z,2025-10-27T00:03:35.094000Z,2025-10-06T23:04:35.224742Z,1393.0,CUKPH3D8,16906,39,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
68e4459c0433343c13135f7d,6643cbd6903cfc9bd5d0be09,APPROVED,Not Applicable,2025-10-06T22:41:35.458000Z,2025-10-06T23:18:33.512000Z,2025-10-27T00:03:35.513000Z,2025-10-06T23:18:33.910460Z,2219.0,CUKPH3D8,1362,32,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e445f64061d1fed5a95589,63e51bd9b573cd46809e1d56,RETURNED,Not Applicable,2025-10-06T22:43:05.369000Z,,,2025-10-09T14:48:00.414805Z,,,5598,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e446310bc8fa6d60beb299,6113ffbf45e79bc2769db74c,RETURNED,Not Applicable,2025-10-06T22:44:58.896000Z,,,2025-10-09T14:48:00.416881Z,,,6837,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e446756b205e060361ad85,58a1fe40ea3d11000170d9b9,APPROVED,Not Applicable,2025-10-06T22:45:16.292000Z,2025-10-06T23:41:59.201000Z,2025-10-27T00:03:35.900000Z,2025-10-06T23:41:59.601736Z,3403.0,CUKPH3D8,8103,33,Female,White,United States,United States,United States,English,No,Full-Time
68e4467ef78bd34314f00f9b,61647de75314468d5cb57f93,RETURNED,Not Applicable,2025-10-06T22:45:23.913000Z,,,2025-10-09T14:48:00.414958Z,,,2431,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e446abaa4a004666668146,5a198755f2e3460001edc5c9,APPROVED,Not Applicable,2025-10-06T22:46:18.876000Z,2025-10-06T23:10:01.845000Z,2025-10-27T00:03:36.308000Z,2025-10-06T23:10:02.267522Z,1423.0,CUKPH3D8,3300,37,Male,White,United States,United States,United States,English,No,Part-Time
68e447746272aa3ed3bcef3b,676f6e127fe25105c06e8775,APPROVED,Not Applicable,2025-10-06T22:50:18.133000Z,2025-10-06T23:10:19.244000Z,2025-10-27T00:03:36.700000Z,2025-10-06T23:10:21.555601Z,1202.0,CUKPH3D8,531,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
