Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e68e2358b7d995f54e2629,63f78071721a6cacdd63d835,RETURNED,Not Applicable,2025-10-08T16:15:31.897000Z,,,2025-10-08T20:35:28.052835Z,,,4380,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e68efeb4f4f00387b75383,62e6c5d05d354e1f99d612e4,TIMED-OUT,Not Applicable,2025-10-08T16:27:37.136000Z,,,2025-10-08T20:35:26.559175Z,14870.0,,3683,34,Male,Black,United States,United States,United States,English,No,Full-Time
68e68f62e741112f74f684f5,5f3ac1732efa0a74f975b1a8,RETURNED,Not Applicable,2025-10-08T16:22:01.333000Z,,,2025-10-08T20:35:26.572237Z,,,3448,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e69235d911c39a734a4e9a,65ccca52871269168cc029b5,RETURNED,Not Applicable,,,,2025-10-08T20:35:28.108251Z,,,1732,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e692439fc40f905f940683,66fdd6ecd96e23c98cf47a4a,RETURNED,Not Applicable,2025-10-08T16:33:16.976000Z,,,2025-10-08T20:35:26.564896Z,,,1079,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e6929030163a29c3ffe400,5d460ce9ba790b0001dd488c,APPROVED,Not Applicable,2025-10-08T16:34:40.166000Z,2025-10-08T16:53:07.486000Z,2025-10-29T00:02:46.513000Z,2025-10-08T16:53:07.897644Z,1108.0,CUKPH3D8,756,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e692ef256226ee4473afaf,65390c1abdfe1fd0b200ac11,RETURNED,Not Applicable,2025-10-08T16:36:06.496000Z,,,2025-10-08T20:35:26.583276Z,,,2912,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e695c447cb372365d7be8e,67388861a4434c34f877785d,APPROVED,Not Applicable,2025-10-08T16:48:09.413000Z,2025-10-08T17:24:04.287000Z,2025-10-29T00:02:46.882000Z,2025-10-08T17:24:04.797651Z,2155.0,thankyou2025,527,33,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e696061e1a34ef04b1dda3,601d7cc678b34c000c119699,RETURNED,Not Applicable,,,,2025-10-08T20:35:26.569919Z,,,74,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e69995682928decbaf4057,667dc21819f1e0f06520b7e0,APPROVED,Not Applicable,2025-10-08T17:04:33.898000Z,2025-10-08T17:48:00.127000Z,2025-10-29T00:02:47.366000Z,2025-10-08T17:48:00.554714Z,2607.0,CUKPH3D8,1266,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
